feature_group,perm_loss_increase
conflict_std,2.744976899088642
response,0.03939612338613534
species,0.01961668752869913
parish,0.014494580457743916
village,0.006001945518658243
is_weekend,2.4781321756726926e-05
month_ix,7.50560635764605e-06
district,0.0
ca,0.0
dow,-1.5154579371921828e-06
subcounty,-0.0006972715549074388
